date,Regime_1,Regime_2,Regime_3,Regime_4
2018-01-09,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-10,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-11,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-12,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-13,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-14,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-15,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-16,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-17,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-18,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-19,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-20,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-21,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-22,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-23,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-24,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-25,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-26,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-27,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-28,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-29,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-30,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-01-31,0.999999999999929,0.0,0.0,7.762981083725733e-14
2018-02-01,1.0,0.0,0.0,1.655993144452358e-16
2018-02-02,1.0,0.0,0.0,1.655993144452358e-16
2018-02-03,1.0,0.0,0.0,1.655993144452358e-16
2018-02-04,1.0,0.0,0.0,1.655993144452358e-16
2018-02-05,1.0,0.0,0.0,1.655993144452358e-16
2018-02-06,1.0,0.0,0.0,1.655993144452358e-16
