date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
1985-11-01,,,902.35,2838.29,,,,,
1985-12-01,9.3,9016.0,987.83,3011.39,,,,,
1986-01-01,,,1050.63,3009.35,,,,,
1986-02-01,,,960.27,2882.59,,,,,
1986-03-01,,,898.79,2854.09,,,,,
1986-04-01,,,881.55,2880.7,,,,,
1986-05-01,,,865.06,2922.83,,,,,
1986-06-01,,,888.46,2990.8,,,,,
1986-07-01,,,908.77,3057.26,,,,,
1986-08-01,,,930.46,3127.9,,,,,
1986-09-01,,,978.62,3219.86,,,,,
1986-10-01,,,1037.06,3361.43,,,,,
1986-11-01,,,1108.02,3554.65,,,,,
1986-12-01,6.5,10275.2,1218.36,3856.03,,,,,
1987-01-01,4.7,,1367.99,3955.27,,,,,
1987-02-01,4.8,,1199.81,3748.03,,,,,
1987-03-01,5.4,,1142.64,3725.98,,,,,
1987-04-01,5.7,,1134.54,3726.46,,,,,
1987-05-01,7.1,,1123.39,3776.36,,,,,
1987-06-01,7.2,,1135.38,3825.43,,,,,
1987-07-01,7.6,,1174.91,3907.69,,,,,
1987-08-01,7.7,,1198.86,4013.21,,,,,
1987-09-01,7.3,,1269.92,4148.3,,,,,
1987-10-01,6.9,,1323.7,4279.58,,,,,
1987-11-01,7.8,,1372.56,4396.18,,,,,
1987-12-01,7.9,12058.6,1454.59,4481.67,,,,,
1988-01-01,7.9,,1552.82,4632.31,,,,,
1988-02-01,9.2,,1552.02,4573.73,,,,,
1988-03-01,11.3,,1442.48,4510.07,,,,,
1988-04-01,12.2,,1454.34,4664.6,,,,,
1988-05-01,14.2,,1466.88,4827.54,,,,,
1988-06-01,16.3,,1543.09,4944.86,,,,,
1988-07-01,19.2,,1637.71,5132.35,,,,,
1988-08-01,23.6,,1736.98,5349.04,,,,,
1988-09-01,26.4,,1850.32,5344.59,,,,,
1988-10-01,27.1,,1919.06,5264.28,,,,,
1988-11-01,26.8,,2027.34,5284.43,,,,,
1988-12-01,27.9,15042.8,2134.03,5490.17,,,,,
1989-01-01,27.4,,2454.97,5607.55,,,,,
