date,value,indicator_code,indicator_name,frequency
2023-06-01,588670,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-07-01,589257,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-08-01,595191,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-09-01,598956,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-10-01,595517,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-11-01,593567,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2023-12-01,594256,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-01-01,588944,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-02-01,593206,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-03-01,595969,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-04-01,595676,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-05-01,600372,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-06-01,599979,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-07-01,605814,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-08-01,603601,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-09-01,608774,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-10-01,612552,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-11-01,616833,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2024-12-01,622396,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-01-01,615973,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-02-01,616714,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-03-01,625121,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-04-01,623521,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-05-01,618037,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-06-01,624146,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-07-01,628747,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-08-01,632149,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-09-01,632664,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
2025-10-01,633232,RSXFS,Retail and Food Services Sales (Excluding Food Services),m
