日期,RQ,status,physical power,fatigue
2024-06-15,50.1,-1.4,15.9,17.4
2024-06-17,50.3,1.8,15.3,13.4
2024-06-18,50.3,0.1,15.5,15.4
2024-06-19,50.3,0.2,15.5,15.3
2024-06-20,50.4,-1.4,15.7,17.1
2024-06-21,50.5,-0.2,15.5,15.7
2024-06-22,50.4,-2,15.8,17.8
2024-06-23,50.4,-2.7,16,18.7
2024-06-24,50.5,-1.3,15.7,17
2024-06-25,50.6,-1.7,15.8,17.5
2024-06-26,50.6,-1.7,15.8,17.6
2024-06-27,50.7,-0.4,15.6,15.9
2024-06-29,50.7,-3.8,16.2,20
2024-06-30,50.6,-3.5,16.2,19.7
2024-07-02,50.7,-0.5,15.7,16.2
2024-07-03,50.8,-0.4,15.6,16.1
2024-07-04,50.8,-1.8,15.8,17.6
2024-07-05,50.7,-1.3,15.7,17
2024-07-07,50.7,-0.7,15.6,16.3
2024-07-08,50.8,-1.3,15.7,17
2024-07-09,50.8,-0.8,15.6,16.4
2024-07-10,50.9,-1.4,15.7,17.2
2024-07-11,51.1,-0.3,15.5,15.8
2024-07-13,51.2,-0.9,15.6,16.5
2024-07-14,51.1,-3.6,16.1,19.7
2024-07-16,51,-1.2,15.7,16.9
2024-07-17,51.3,-1.8,15.8,17.6
2024-07-18,51.3,-1,15.7,16.7
2024-07-19,51.3,-0.2,15.5,15.6
2024-07-20,51.3,-1.7,15.8,17.4
2024-07-21,51.3,-3.2,16.1,19.2
2024-07-22,51.3,-1.9,15.9,17.8
2024-07-23,51.4,-2.3,16,18.2
2024-07-25,51.4,-0.2,15.5,15.7
2024-07-26,51.4,-1.3,15.7,18
2024-07-28,51.5,-0.2,15.5,15.7
2024-07-29,51.5,0.2,15.4,15.1
2024-07-31,51.6,0.2,15.3,15.1
2024-08-01,51.5,-0.1,15.3,15.3
2024-08-02,51.4,-0.1,15.2,15.3
2024-08-03,51.5,-0.9,15.3,16.2
2024-08-04,51.5,-3,15.8,18.8
2024-08-05,51.5,-3.5,15.9,19.4
2024-08-07,51.7,-1.7,15.6,17.2
2024-08-08,51.7,-2.1,15.7,17.8
2024-08-09,51.7,-3.7,16,19.7
2024-08-11,51.6,-4.1,16.2,20.2
2024-08-12,51.5,-5.8,16.5,22.3
2024-08-13,51.6,-6.5,16.8,23.3
2024-08-14,51.6,-4.9,16.6,21.5
2024-08-15,51.7,-5.6,16.8,22.4
2024-08-17,51.7,-5.5,17,22.5
2024-08-18,51.7,-4.9,17,21.8
2024-08-19,51.7,-3.9,16.9,20.7
2024-08-20,51.8,-2.7,16.7,19.4
2024-08-21,51.9,-3.5,16.9,20.4
2024-08-22,51.8,-2.3,16.7,19
2024-08-24,51.8,-1.8,16.6,18.3
2024-08-27,51.8,3.6,15.4,11.8
2024-08-28,51.6,4,15.2,11.2
2024-08-29,51.5,3.6,15.2,11.5
2024-08-30,51.5,0.8,15.6,14.8
2024-08-31,51.5,-0.2,15.7,15.9
2024-09-01,51.5,-1.6,16,17.6
2024-09-02,51.6,-1.2,15.9,17.1
2024-09-03,51.6,-2.4,16.1,18.5
2024-09-04,51.5,-1.4,16,17.3
2024-09-06,51.6,-0.5,15.7,16.2
2024-09-07,51.5,-0.9,15.8,16.7
2024-09-08,51.5,-3.5,16.3,19.8
2024-09-09,51.5,-1.9,16,17.9
2024-09-10,51.5,-0.7,15.8,16.6
2024-09-11,51.5,-2.9,16.2,19.1
2024-09-13,51.6,-2.5,16.2,18.7
2024-09-14,51.6,-2.7,16.2,18.9
2024-09-15,51.6,-3.9,16.5,20.4
2024-09-16,51.6,-3.4,16.5,19.8
2024-09-17,51.7,-2.9,16.4,19.3
2024-09-18,51.7,-1.6,16.2,17.8
2024-09-20,51.7,1.8,15.5,13.7
2024-09-21,51.8,1.8,15.4,13.7
2024-09-22,51.8,-4.4,16.6,20.9
2024-09-23,51.9,-2.9,16.3,19.3
2024-09-24,51.8,-2.4,16.3,18.6
2024-09-25,51.8,-1.9,16.2,18.1
2024-09-26,51.8,-1.8,16.2,18
2024-09-27,51.5,-3.6,16.6,20.2
2024-09-28,51.5,-4.4,16.8,21.2
2024-09-30,51.5,-0.8,16.2,17
2024-10-01,51.5,-0.8,16.2,17
2024-10-02,51.5,-2.6,16.5,19.1
2024-10-04,51.6,-2.5,16.5,19.1
2024-10-05,51.6,-1,16.3,17.2
2024-10-06,51.5,-1.5,16.4,17.8
2024-10-07,51.6,-1.8,16.4,18.3
2024-10-09,51.6,-1.3,16.3,17.6
2024-10-10,51.7,-1,16.2,17.3
2024-10-11,51.8,-2.6,16.5,19.1
2024-10-12,51.7,-1.4,16.3,17.7
